,Origin_Dest,Destination,Company_names,start_date,end_date,Stops,Timings,Duration,Price
21,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,06:45–08:40,1h 55m,"₹ 5,127"
22,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,04:00–05:50,1h 50m,"₹ 5,127"
23,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,06:45–08:40,1h 55m,"₹ 5,127"
24,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,06:45–08:40,1h 55m,"₹ 5,127"
25,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,14:15–15:55,1h 40m,"₹ 5,331"
26,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,22:20–00:10+1,1h 50m,"₹ 5,331"
27,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,14:15–15:55,1h 40m,"₹ 5,331"
28,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,22:20–00:10+1,1h 50m,"₹ 5,331"
29,BOM,BLR,"Akasa Air, GoFirst",8/19/2023,11/30/2023,direct,22:20–00:10+1,1h 50m,"₹ 5,331"
30,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,16:40–18:25,1h 45m,"₹ 5,365"
31,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,16:40–18:25,1h 45m,"₹ 5,365"
32,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,12:00–14:00,2h 00m,"₹ 5,365"
33,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,16:40–18:25,1h 45m,"₹ 5,365"
34,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,16:40–18:25,1h 45m,"₹ 5,365"
35,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,12:00–14:00,2h 00m,"₹ 5,365"
36,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,12:00–14:00,2h 00m,"₹ 5,365"
37,BOM,BLR,"Air India, GoFirst",8/19/2023,11/30/2023,direct,12:00–14:00,2h 00m,"₹ 5,365"
38,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,06:10–07:45,1h 35m,"₹ 5,369"
